TransactionID,ProductID,ReferenceOrderID,ReferenceOrderLineID,TransactionDate,TransactionType,Quantity,ActualCost,ModifiedDate,SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Order_Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,FIN_AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,OrderDetail_ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,ProductName,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,CardType,CardNumber,ExpMonth,ExpYear,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,AddressID_Ship_TO,AddressLine1_Ship_TO,AddressLine2_Ship_TO,City_Ship_TO,StateProvinceID_Ship_TO,PostalCode_Ship_TO,SpatialLocation_Ship_TO,AddressID_BillTo,AddressLine1_BillTo,AddressLine2_BillTo,City_BillTo,StateProvinceID_BillTo,PostalCode_BillTo,SpatialLocation_BillTo,SpecialOfferID,Description,DiscountPct,Type,Category,StartDate,EndDate,MinQty,MaxQty,PersonID,AccountNumber,StoreID,Store_Name,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,TerritoryName,CountryRegionCode,Group,SalesYTD,SalesLastYear,CostYTD,CostLastYear
100224,794,53456,1,00:00.0,S,1,1759.212,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46872,9F7E-451F-8E,1,794,1,1466.01,0,1466.01,"Road-250 Black, 48",BK-R89B-48,1,1,Black,100,75,1554.9479,2443.35,48,CM ,LB ,15.13,4,R ,H ,U ,2,26,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100225,795,53456,2,00:00.0,S,1,1759.212,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46873,9F7E-451F-8E,1,795,1,1466.01,0,1466.01,"Road-250 Black, 52",BK-R89B-52,1,1,Black,100,75,1554.9479,2443.35,52,CM ,LB ,15.42,4,R ,H ,U ,2,26,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100230,800,53456,3,00:00.0,S,1,806.7528,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46874,9F7E-451F-8E,1,800,1,672.294,0,672.294,"Road-550-W Yellow, 44",BK-R64Y-44,1,1,Yellow,100,75,713.0798,1120.49,44,CM ,LB ,18.42,4,R ,M ,W ,2,29,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100237,875,53456,4,00:00.0,S,11,5.8435,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46875,9F7E-451F-8E,11,875,2,5.2142,0.02,56.209076,"Racing Socks, L",SO-R809-L,0,1,White,4,3,3.3623,8.99,L,NULL,NULL,NULL,0,R ,NULL,U ,23,24,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,00:00.0,00:00.0,11,14,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100226,796,53456,5,00:00.0,S,1,1759.212,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46876,9F7E-451F-8E,1,796,1,1466.01,0,1466.01,"Road-250 Black, 58",BK-R89B-58,1,1,Black,100,75,1554.9479,2443.35,58,CM ,LB ,15.68,4,R ,H ,U ,2,26,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100232,813,53456,6,00:00.0,S,1,88.9998,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46877,9F7E-451F-8E,1,813,1,72.162,0,72.162,HL Road Handlebars,HB-R956,1,1,NULL,500,375,53.3999,120.27,NULL,NULL,NULL,NULL,1,R ,H ,NULL,4,58,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100241,973,53456,7,00:00.0,S,1,1224.7128,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46878,9F7E-451F-8E,1,973,1,1020.594,0,1020.594,"Road-350-W Yellow, 40",BK-R79Y-40,1,1,Yellow,100,75,1082.51,1700.99,40,CM ,LB ,15.35,4,R ,M ,W ,2,27,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100227,797,53456,8,00:00.0,S,1,806.7528,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46879,9F7E-451F-8E,1,797,1,672.294,0,672.294,"Road-550-W Yellow, 38",BK-R64Y-38,1,1,Yellow,100,75,713.0798,1120.49,38,CM ,LB ,17.35,4,R ,M ,W ,2,29,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100223,793,53456,9,00:00.0,S,3,1759.212,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46880,9F7E-451F-8E,3,793,1,1466.01,0,4398.03,"Road-250 Black, 44",BK-R89B-44,1,1,Black,100,75,1554.9479,2443.35,44,CM ,LB ,14.77,4,R ,H ,U ,2,26,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
100233,835,53456,10,00:00.0,S,2,440.1742,00:00.0,53456,8,00:00.0,00:00.0,00:00.0,Shipped,0,SO53456,PO19401178762,10-4020-000173,29714,289,6,473,473,5,6065,45161Vi31551,9084,26816.5751,2579.8168,806.1928,30202.5847,NULL,46881,9F7E-451F-8E,2,835,1,356.898,0,713.796,"ML Road Frame-W - Yellow, 44",FR-R72Y-44,1,1,Yellow,500,375,360.9428,594.83,44,CM ,LB ,2.3,1,R ,M ,W ,14,17,00:00.0,NULL,NULL,ColonialVoice,7.77788E+13,3,2006,00:00.0,USD,CAD,1.5955,1.5969,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,473,595 Burning Street,NULL,Vancouver,7,V7L 4J4,0xE6100000010CE1052959A5AD4840AC342B5FA2C95EC0,1,No Discount,0,No Discount,No Discount,00:00.0,00:00.0,0,NULL,811,AW00029714,812,Sundry Sporting Goods,SC,0,Mr.,Rudolph,J.,Dillon,Sr.,0,NULL,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>-11516.9692</TotalPurchaseYTD></IndividualSurvey>",Canada,CA,North America,6771829.138,5693988.86,0,0
